fid,referencia,codigo_mun,plano_cata,codigo,inquilinos,deuda_total,UC_inquilinosField7,tipo_familiaField5,ingresos_mean,deuda_mean,tipo_familia_meanmean,count,300m,ingresos_meses,ZVeco,familia,Ifam,ISuivi,ZVvul,OBJECTID,id_padron,TIPO,NOMBRE,ID_T,Eco_mean,suivi_mean,vul_mean,IndiceEco_quar,IndiceFam_quar,IndiceGen_quar,nombre_quartier
82,"71386","77181383",XM7173G,40-00210,22535.38,0,ALQUILER GENERAL,"2",14073.3428571429,28.2857142857143,1.5,14,0,1172.77857142857,1.6,0.8,2.4,0.8,2.4,1,1,Distrito Municipal,Casco Histórico,I,2.24,1.38,3.62,2.11115044247788,1.18442477876106,3.29557522123894,565
96,"63374","76341377",XM7163G,40-02948,22911.48,2814,ALQUILER GENERAL,"2",12699.6484615385,818.461538461538,1.65384615384615,26,1,1058.30403846154,2.4,1.2,3.6,2.2,4.6,1,1,Distrito Municipal,Casco Histórico,I,2.24,1.38,3.62,2.11115044247788,1.18442477876106,3.29557522123894,565
122,"70387","77101382",XM7173G,40-00892,2400,139,ALQUILER GENERAL,"3",12658.2323809524,472.190476190476,1.80952380952381,21,0,1054.8526984127,2,1.2,3.2,1.2,3.2,1,1,Distrito Municipal,Casco Histórico,I,2.24,1.38,3.62,2.11115044247788,1.18442477876106,3.29557522123894,565
144,"70384","77131386",XM7173G,40-00934,13008.48,137,ALQUILER GENERAL,"2",14699.6528282828,373.151515151515,1.60606060606061,99,0,1224.97106902357,2,1.2,3.2,1.2,3.2,1,1,Distrito Municipal,Casco Histórico,I,2.24,1.38,3.62,2.11115044247788,1.18442477876106,3.29557522123894,565
185,"70389","77071384",XM7173G,40-00868,17842.58,0,ALQUILER GENERAL,"2",15132.0494117647,266.647058823529,1.76470588235294,17,0,1261.00411764706,1.6,1.2,2.8,1.2,2.8,1,1,Distrito Municipal,Casco Histórico,I,2.24,1.38,3.62,2.11115044247788,1.18442477876106,3.29557522123894,565
203,"59394","75951399",XM7153H,40-00301,15556,13478,ALQUILER GENERAL,"3",14569.8253333333,883.766666666667,1.76666666666667,30,0,1214.15211111111,2.4,1.2,3.6,1.2,3.6,1,1,Distrito Municipal,Casco Histórico,I,2.24,1.38,3.62,2.11115044247788,1.18442477876106,3.29557522123894,565
243,"61385","76181389",XM7163G,40-01596,7899,3103,ALQUILER GENERAL,"3",12408.3175,1017,1.875,8,0,1034.02645833333,3.2,1.2,4.4,1.2,4.4,1,1,Distrito Municipal,Casco Histórico,I,2.24,1.38,3.62,2.11115044247788,1.18442477876106,3.29557522123894,565
255,"61402","76121406",XM7164A,40-00371,12241.6,0,ALQUILER GENERAL,"1",18483.4823611111,681.666666666667,1.25,72,0,1540.29019675926,2,0.8,2.8,0.8,2.8,1,1,Distrito Municipal,Casco Histórico,I,2.24,1.38,3.62,2.11115044247788,1.18442477876106,3.29557522123894,565
329,"61418","76151410",XM7164A,40-02537,14195.88,0,ALQUILER GENERAL,"1",16251.2529411765,39.2352941176471,1.23529411764706,17,0,1354.27107843137,1.6,0.8,2.4,0.8,2.4,1,1,Distrito Municipal,Casco Histórico,I,2.24,1.38,3.62,2.11115044247788,1.18442477876106,3.29557522123894,565
364,"62393","76231399",XM7164A,40-00233,14377.3,419,ALQUILER GENERAL,"1",12197.54,704.428571428571,1.14285714285714,7,0,1016.46166666667,2.8,0.8,3.6,0.8,3.6,1,1,Distrito Municipal,Casco Histórico,I,2.24,1.38,3.62,2.11115044247788,1.18442477876106,3.29557522123894,565
372,"62397","76291392",XM7163G,40-01320,17455.34,0,ALQUILER GENERAL,"1",9962.25666666667,33.3333333333333,1.5,6,0,830.188055555555,2,0.8,2.8,0.8,2.8,1,1,Distrito Municipal,Casco Histórico,I,2.24,1.38,3.62,2.11115044247788,1.18442477876106,3.29557522123894,565
