OBJECTID,Shape_Leng,Shape_Area,id_padron,TIPO,NOMBRE,ID_T,isv,IndiceEco_quar,IndiceFam_quar,IndiceGen_quar
17,34134.62992970000,20157658.59549999982,13,Junta Vecinal,Torrecilla de Valmadrid,XXVII,"11.6",,,
20,75166.01813220000,123984207.17799998820,9,Junta Vecinal,La Cartuja Baja,XX,"4.632801",,,
9,67270.19315390002,111442775.57699999213,12,Distrito Municipal,Torrero - La Paz,IX,"7.549584","1.92592592592593","1.8","3.72592592592593"
12,37261.92681210000,7336441.36063000094,6,Distrito Municipal,Casablanca,XII,"6.007045",,,
15,38058.65444550000,59300727.86949999630,29,Distrito Municipal,Sur,XV,"4.003752",,,
5,11713.85969300000,3634828.88989999983,7,Distrito Municipal,San José,V,"7.355796","2.04444444444444","2.2","4.24444444444444"
4,7419.64247908000,3055572.12583999988,5,Distrito Municipal,Universidad,IV,"5.806104",,,
6,11761.85456940000,6311822.30845000036,8,Distrito Municipal,Las Fuentes,VI,"9.085014","1.73333333333333","2.23888888888889","3.97222222222222"
2,6911.83268102000,1808638.51584000001,2,Distrito Municipal,Centro,II,"5.945222",,,
3,7405.65317581000,2895719.75300000003,3,Distrito Municipal,Delicias,III,"8.452645","1.6","3","4.6"
8,10056.82313870000,3584086.00883000018,11,Distrito Municipal,Oliver - Valdefierro,VIII,"7.413768","2.10769230769231","1.54807692307692","3.65576923076923"
1,7131.61667649000,1984485.95442999993,1,Distrito Municipal,Casco Histórico,I,"8.521954","2.11115044247788","1.18442477876106","3.29557522123894"
14,15527.67380530000,8982689.02129999921,10,Distrito Municipal,Miralbueno,XIV,"3.714884","1.2","3","4.2"
23,22092.92529920000,22750881.35130000114,21,Junta Vecinal,Movera,XXIII,"6.487456",,,
13,17598.18399870000,7973762.33131999988,22,Distrito Municipal,Santa Isabel,XIII,"4.515668","1.6","2.2","3.8"
10,11664.10576330000,8400154.46381999925,15,Distrito Municipal,El Rabal,X,"5.856192","2.41176470588235","2.16470588235294","4.57647058823529"
7,13971.48461380000,5672393.85376999993,4,Distrito Municipal,La Almozara,VII,"6.038845","2","2.2","4.2"
11,19407.41807930000,9646080.37983000092,14,Distrito Municipal,Actur - Rey Fernando,XI,"3.636037","2.51794071762871","1.23681747269891","3.75475819032761"
28,13864.33021720000,9203855.95253000036,24,Junta Vecinal,Venta del Olivar,XXVIII,"8.083415",,,
25,6134.84478056000,1933924.28420999995,19,Junta Vecinal,San Gregorio,XXV,"6.06051",,,
22,23775.15139300000,11977031.04920000024,25,Junta Vecinal,Monzalbarba,XXII,"6.482207",,,
21,19699.28204890000,11772072.87360000052,17,Junta Vecinal,Montañana,XXI,"7.812518",,,
17,20028.15756030000,6366708.47785999998,27,Junta Vecinal,Casetas,XVII,"9.153388",,,
26,20481.59925640000,10893550.45289999992,18,Junta Vecinal,San Juan de Mozarrifar,XXVI,"4.499271",,,
18,63194.48843620000,141238303.87700000405,23,Junta Vecinal,Garrapinillos,XVIII,"6.255125",,,
29,8819.11430678000,1130524.24564999994,28,Junta Vecinal,Villarrapa,XXIX,"10.045249",,,
16,19319.33635100000,11312466.66430000030,26,Junta Vecinal,Alfocea,XVI,"8.883041",,,
24,40180.43839300000,54400094.04479999840,20,Junta Vecinal,Peñaflor,XXIV,"8.637473",,,
19,97588.68504300000,299560202.89399999380,16,Junta Vecinal,Juslibol - El Zorongo,XIX,"6.949228",,,
