OBJECTID,Shape_Leng,Shape_Area,id_padron,TIPO,NOMBRE,ID_T,isv,IndiceEco_quar,IndiceFam_quar,IndiceGen_quar,def1_nombre_quartier

"9","67270.19315390002","111442775.57699999213","12",Distrito Municipal,Torrero - La Paz,IX,"7.549584","1.92592592592593","1.8","3.72592592592593","27"

"5","11713.85969300000","3634828.88989999983","7",Distrito Municipal,San José,V,"7.355796","2.04444444444444","2.2","4.24444444444444","9"

"6","11761.85456940000","6311822.30845000036","8",Distrito Municipal,Las Fuentes,VI,"9.085014","1.73333333333333","2.23888888888889","3.97222222222222","72"

"3","7405.65317581000","2895719.75300000003","3",Distrito Municipal,Delicias,III,"8.452645","1.6","3","4.6","2"
"8","10056.82313870000","3584086.00883000018","11",Distrito Municipal,Oliver - Valdefierro,VIII,"7.413768","2.10769230769231","1.54807692307692","3.65576923076923","104"
"1","7131.61667649000","1984485.95442999993","1",Distrito Municipal,Casco Histórico,I,"8.521954","2.11115044247788","1.18442477876106","3.29557522123894","565"
"14","15527.67380530000","8982689.02129999921","10",Distrito Municipal,Miralbueno,XIV,"3.714884","1.2","3","4.2","46"

"13","17598.18399870000","7973762.33131999988","22",Distrito Municipal,Santa Isabel,XIII,"4.515668","1.6","2.2","3.8","1"
"10","11664.10576330000","8400154.46381999925","15",Distrito Municipal,El Rabal,X,"5.856192","2.41176470588235","2.16470588235294","4.57647058823529","34"
"7","13971.48461380000","5672393.85376999993","4",Distrito Municipal,La Almozara,VII,"6.038845","2","2.2","4.2","1"
"11","19407.41807930000","9646080.37983000092","14",Distrito Municipal,Actur - Rey Fernando,XI,"3.636037","2.51794071762871","1.23681747269891","3.75475819032761","641"

